,stock_code,alpha,beta_market,beta_smb,beta_hml,r_squared,adj_r_squared,f_pvalue,obs_count,p_value_alpha,p_value_market,p_value_smb,p_value_hml,t_stat_alpha,t_stat_market,t_stat_smb,t_stat_hml
17,000661,8.722929573969585e-05,1.1471530248068589,-0.19691886988351784,-0.19273699571016173,0.24515569601834608,0.24347702076857214,5.993756768556376e-82,1353,0.907925809885078,9.130762287136659e-71,0.0006114320464879681,0.0009630249403155577,0.11567692641344922,18.884913855362164,-3.4345996806949968,-3.308404847360908
18,000708,0.003954592295236543,1.6165911815705103,0.47344604674259905,0.3281366284875455,0.25187897447081153,0.2502189426094301,9.423070539503971e-85,1356,3.347135739645132e-05,3.8176865672566165e-87,7.921963723671005e-11,8.543781088405046e-06,4.162474268419883,21.31483702107128,6.5544652096159055,4.46827185264377
19,000725,0.00023208220291287633,1.204439555593458,-0.03993299919653912,-0.04395257707496788,0.38208137401334774,0.38071631077479107,2.0070888706899898e-141,1362,0.670251414699575,9.580723323442522e-134,0.33579400285409833,0.29752570180042875,0.42589559566866686,27.634583088191455,-0.9628504312180186,-1.0421541613156475
20,000733,0.002006177193464426,1.2005510945593025,0.07049753740124162,0.024127321676233358,0.20112676548347963,0.19936194979603516,8.018659345899467e-66,1362,0.01588344566931125,1.4984187059652102e-65,0.2651106233871243,0.7075634376983613,2.414612299206944,18.066139680226,1.1148531239022845,0.3752092582057612
21,000768,0.0007414937232917768,1.0224665781842226,0.045340420053364285,0.06127090669963043,0.2381531512920806,0.2364701317441249,8.835425414115478e-80,1362,0.24423625466473817,9.067112134545857e-79,0.3494595027277072,0.21379116053994696,1.1649687071056063,20.08456812996793,0.9359613365462885,1.2437909708345976
22,000776,0.000589281116368641,1.393120103295459,0.048112759093596004,0.001713836003836884,0.5140740644260788,0.5130005903416004,3.2027869273364643e-212,1362,0.21311302551849076,2.231218376737146e-206,0.1816847276092669,0.9626727897339231,1.245635733670534,36.81829640086033,1.3362705157677814,0.0468084336188023
23,000786,0.000827850717547243,1.359442892262181,0.05659009804934979,0.019846042083689012,0.3283841499782937,0.32690046253347405,6.959668397674962e-117,1362,0.22196752637016945,1.9812507576438113e-114,0.2726442428961375,0.7051387096140782,1.2218734844473795,25.08659828313535,1.0974386373910772,0.37847258879670775
24,000792,-0.010210989916457466,-0.048535440018687814,-3.5202883784590204,-4.408488149361262,0.3036154080817768,0.3016143029325865,1.3212083176177057e-81,1048,0.0001377658184030125,0.8218051195869367,3.815738146795972e-38,1.0478268424820448e-39,-3.826371632085073,-0.22528054858320232,-13.449308393143907,-13.758766870115533
25,000800,0.0012332059401449864,1.047116568856991,0.2120004086094499,0.1022652769443208,0.21692230208163665,0.21517825375665145,4.109086977619351e-71,1351,0.06938833460471985,4.7389785850474975e-73,4.075001489642269e-05,0.051217131519993235,1.8173323994107764,19.236128646101026,4.116808409446409,1.95139485096294
26,000807,0.0016521780093097474,1.48612477907154,0.14220766447880537,0.03676164631892648,0.2659862798891921,0.26436474737053794,9.887228729514195e-91,1362,0.05277142960554895,1.370975013532009e-90,0.02852941868364162,0.5774167841153899,1.9384821268514885,21.80051912812323,2.192267556183377,0.5572963878852507
